Station,Section,Train Number,Train Name,From,To,Arrival Time,Departure Time,Load,Days,Type,Platform No,Remarks
UBL,PLATFORM TURNAROUND,17314/17313,17314 Mas Ubl Express,CEN,CEN,04:50,21:35,19,FRI,both,7,
UBL,PLATFORM TURNAROUND,20679/22697,20679 Mas Ubl Sf Exp,CEN,CEN,05:20,20:30,19,SAT,both,6,
UBL,PLATFORM TURNAROUND,17050/17049,17050 Hyb Ubl Exp,HYB,HYB,05:55,21:00,22,DAILY,both,7,
UBL,PLATFORM TURNAROUND,20688/20687,20688 Sbc Ubl Sf Exp,SBC,SBC,06:30,23:30,20,THREE DAYS A WEEK,both,2,
UBL,PLATFORM TURNAROUND,20655/20656,20655 Ypr Ubl Exp,YPR,YPR,07:15,11:45,21,SAT,both,2,
UBL,PLATFORM TURNAROUND,56903/56904,56903 Sur Dharwar Pass,SUR,SUR,09:45,18:20,11,DAILY,both,3,AT DWR
UBL,PLATFORM TURNAROUND,17304/17332,17304 Sindhanur - Sss Hubballi Express,SNNR,MRJ,09:50,10:45,8,DAILY,both,4,DEMU
UBL,PLATFORM TURNAROUND,17318/17329,17318 Dr Hubballi Exp,DR,BZA,10:45,19:30,16,DAILY,both,2,
UBL,PLATFORM TURNAROUND,07330/07329,07330 Vijayapura - Sss Hubballi Intercity Express Special,BJP,BJP,11:00,16:45,8,DAILY EXCEPT ALT SAT,both,7,MEMU
UBL,PLATFORM TURNAROUND,17225/17226,17225 Amaravathi Exp,NS,NS,11:30,13:00,22,DAILY,both,4,
UBL,PLATFORM TURNAROUND,16213/56906,,ASK,SUR,12:35,13:25,11,DAILY,both,UBL,
UBL,PLATFORM TURNAROUND,12079/12080,12079 Janshatabdi Exp,SBC,SBC,12:50,14:10,18,DAILY,both,2,
UBL,PLATFORM TURNAROUND,56905/17327,56905 Solapur - Hubballi Passenger,SUR,KHTI,14:25,17:00,11,DAILY,both,6,
UBL,PLATFORM TURNAROUND,17348/17347,17348 Chitradurga - Sss Hubballi Memu Express,CTA,CTA,18:35,07:20,8,DAILY EXCEPT ALT THU,both,UBL,MEMU
UBL,PLATFORM TURNAROUND,57401/57402,57401 Tpty Ubl Pass,TPTY,TPTY,21:30,06:00,18,DAILY,both,5,
UBL,PLATFORM TURNAROUND,56912/56911,56912 Guntakal - Hubballi Memu,GTL,GTL,22:00,07:45,12,DAILY EXCEPT ALT SAT,both,6,MEMU
UBL,PLATFORM TURNAROUND,12725/12726,12725 Siddaganga Exp,SBC,SBC,21:40,05:35,21,DAILY,both,1,AT DWR
UBL,PLATFORM TURNAROUND,20661/20662,20661 Dwr Vande Bharat,SBC,SBC,12:00,13:30,8,EXCEPT TUE,both,1,AT DWR
UBL,PLATFORM TURNAROUND,20670/20669,20670 Ubl Vandebharat,PA,PA,22:45,05:00,8,"FRI, SUN",1,UBL,
UBL,PASS THROUGH,16541/16542,16541 Ypr Pvr Exp,YPR,PVR,01:45,02:00,21,FRI,both,1,
UBL,PASS THROUGH,16535/16536,16535 Golgumbaz Exp,MYS,PVR,02:00,02:30,21,DAILY,both,1,
UBL,PASS THROUGH,20653/20654,20653 Sbc Bgm Exp,SBC,BGM,03:35,03:45,22,DAILY,both,1,
UBL,PASS THROUGH,12781/12782,12781 Swarna Jayanthi,MYS,NZM,04:05,04:15,20,SAT,both,1,
UBL,PASS THROUGH,19667/19668,19667 Mys Humsafar Exp,UDZ,MYS,05:05,05:15,20,WED,both,2,
UBL,PASS THROUGH,16532/16531,16532 Garib Nawaz Exp,SBC,AII,05:30,05:40,21,SAT,both,3,
UBL,PASS THROUGH,16534/16533,16534 Jodhpur Exp,SBC,BGKT,05:30,05:40,21,MON,both,3,
UBL,PASS THROUGH,20686/20685,20686 Gandhidham Exp,SBC,GIMB,07:00,07:10,21,SUN,both,2,
UBL,PASS THROUGH,20694/20693,20694 Jodhpur Exp,SBC,JU,07:00,07:10,21,"TUE, THU",1,SBC,
UBL,PASS THROUGH,16210/16209,16210 Ajmer Express,MYS,AII,07:00,07:10,21,"WED, FRI",1,MYS,
UBL,PASS THROUGH,12726/12725,12726 Siddaganga Exp,DWR,SBC,06:05,06:15,21,DAILY,both,3,
UBL,PASS THROUGH,16589/16590,16589 Rani Chennamma,SBC,SLI,06:15,06:25,22,DAILY,both,1,
UBL,PASS THROUGH,22497/22498,22497 Sgnr Tpj Humsfar,SNGR,TPJ,06:20,06:30,20,WED,both,3,
UBL,PASS THROUGH,17301/17302,17301 Mys Bgm Exp,MYS,BGM,06:40,06:50,21,DAILY,both,1,
UBL,PASS THROUGH,26751/26752,26751 Sbc Vande Bharat,BGM,SBC,07:55,08:00,8,Except Wed,both,1,
UBL,PASS THROUGH,14806/14805,14806 Bme Ypr Ac Exp,BME,YPR,07:20,08:10,20,SAT,both,5,
UBL,PASS THROUGH,17415/17416,17415 Haripriya Exp,TPTY,KOP,08:35,08:50,21,DAILY,both,1,
UBL,PASS THROUGH,17392/17391,17392 Snnr Sbc Exp,SNNR,SBC,18:10,18:45,13,DAILY,both,6,
UBL,PASS THROUGH,20675/20676,20675 Vishwamanav Exp,BGM,MYS,09:55,10:05,20,DAILY,both,3,
UBL,PASS THROUGH,18047/18048,18047 Amaravati Exp,HWH,VSG,09:15,09:25,20,"SAT, MON,4, THU",both,SHM,
UBL,PASS THROUGH,17321/17322,17321 Vsg Jsme Exp,VSG,JSME,10:15,10:35,20,FRI,both,1,
UBL,PASS THROUGH,11021/11022,11021 Dadar Ten Exp,DR,TEN,12:20,12:30,17,"WED, THU,2,both,DR,
UBL,PASS THROUGH,11005/11006,11005 Puducherry Exp,DR,PDY,12:20,12:30,17,"MON, TUE,2,both,DR,
UBL,PASS THROUGH,11035/11036,11035 Sharavati Exp,DR,MYS,12:20,12:30,17,FRI,both,2,
UBL,PASS THROUGH,20662/20661,20662 Sbc Vande Bharat,DWR,SBC,13:55,14:00,8,Except Tue,both,1,
UBL,PASS THROUGH,17420/17419,17420 Vsg Tpty Exp,VSG,TPTY,14:20,14:35,22,FRI,both,3,
UBL,PASS THROUGH,17315/17316,17315 Velankanni Exp,VSG,VLNK,14:20,14:45,20,MON,both,1,
UBL,PASS THROUGH,56904/56903,56904 Dwr Sur Passenge,DWR,SUR,18:51,19:00,11,DAILY,both,1,
UBL,PASS THROUGH,16587/16588,16587 Bikaner Exp,YPR,BKN,19:20,20:00,21,"SUN, FRI",5,BKN,
UBL,PASS THROUGH,12649/12650,12649 Sampark Kranti,YPR,NZM,20:00,20:40,21,"MON, WED,3, SAT, SUN",both,YPR,
UBL,PASS THROUGH,17377/17378,17377 Bjp Maq Exp,BJP,MAQ,20:50,21:10,16,DAILY,both,6,
UBL,PASS THROUGH,12629/12630,12629 Sampark Kranti,YPR,NZM,21:35,21:45,21,"TUE, THU",1,YPR,
UBL,PASS THROUGH,22685/22686,22685 Cdg Skranti Exp,YPR,CDG,21:35,21:45,22,"WED, SAT",1,YPR,
UBL,PASS THROUGH,17309/17310,17309 Ypr Vsg Exp,YPR,VSG,22:35,22:45,20,DAILY,both,2,
UBL,PASS THROUGH,17039/17040,17039 Sc Vsg Express,SC,VSG,23:00,23:10,19,"WED, FRI",3,SC,
VSG,ORIGINATING TRAINS,17321,17321 Vsg Jsme Exp,VSG,JSME,,04:30,20,FRIDAY,departing,1,
VSG,ORIGINATING TRAINS,18048,18048 Vsg Shm Exp,VSG,SHM,,06:30,20,"TUE, THU,1, SUN",departing,,
VSG,ORIGINATING TRAINS,56962,56962 Vasco Da Gama - Kulem Passenger,VSG,QLM,,07:30,8,DAILY,departing,,
VSG,ORIGINATING TRAINS,17315,17315 Velankanni Exp,VSG,VLNK,,08:40,20,MONDAY,departing,1,
VSG,ORIGINATING TRAINS,07311,07311 Ubl Smvb Spl,VSG,MFP,,14:30,20,MONDAY,departing,,
VSG,ORIGINATING TRAINS,12779,12779 Goa Express,VSG,NZM,,15:10,20,DAILY,departing,,
VSG,ORIGINATING TRAINS,12741,12741 Vsg Patna Exp,VSG,PNBE,,19:00,21,WEDNESDAY,departing,,
VSG,ORIGINATING TRAINS,17310,17310 Vsg Ypr Exp,VSG,YPR,,22:55,20,DAILY,departing,3,
VSG,TERMINATING TRAINS,17316,17316 Vasco Express,VLNK,VSG,02:40,,20,THURSDAY,arriving,1,
VSG,TERMINATING TRAINS,17309,17309 Ypr Vsg Exp,YPR,VSG,05:00,,20,DAILY,arriving,2,
VSG,TERMINATING TRAINS,12742,12742 Pnbe Vsg Exp,PNBE,VSG,05:45/04:35,,21,MONDAY,arriving,,
VSG,TERMINATING TRAINS,12780,12780 Goa Express,NZM,VSG,07:00,,20,DAILY,arriving,,
VSG,TERMINATING TRAINS,07312,07312 Smvb Ubl Spl,MFP,VSG,14:55,,20,SATURDAY,arriving,,
VSG,TERMINATING TRAINS,17322,17322 Jsme Vsg Exp,JSME,VSG,14:55,,20,WEDNESDAY,arriving,1,
VSG,TERMINATING TRAINS,18047,18047 Amaravati Exp,SHM,VSG,16:00,,20,"MON, WED,4, SAT",arriving,,
VSG,TERMINATING TRAINS,56965,56965 Kulem - Vasco Da Gama Passenger,QLM,VSG,19:40,,8,DAILY,arriving,,
VSG,PLATFORM TURNAROUND,17309/17310,17309 Ypr Vsg Exp,YPR,YPR,05:00,22:55,20,"WED, THU,2,both,VSG,
VSG,PLATFORM TURNAROUND,56965/56962,56965 Kulem - Vasco Da Gama Passenger,QLM,QLM,19:40,07:30,8,14 DAYS,both,VSG,
VSG,PLATFORM TURNAROUND,17419/17421/17021,17419 Tpty Vsg Exp,TPTY/HYB,TPTY/HYB,05:45,08:40,20,FRIDAY,both,3,
VSG,PLATFORM TURNAROUND,56961/56964,56961 Kulem - Vasco Da Gama Passenger,QLM,QLM,08:25,13:05,8,DAILY,both,VSG,
VSG,PLATFORM TURNAROUND,56963/56966,56963 Kulem - Vasco-da-gama Passenger,QLM,QLM,14:10,17:30,8,DAILY,both,VSG,
VSG,PLATFORM TURNAROUND,17039/17040,17039 Sc Vsg Express,SC,SC,05:45,08:40,19,"THU, SAT",3,SC,
BGM,ORIGINATING TRAINS,26751,26751 Sbc Vande Bharat,BGM,SBC,,05:35,8,6 DAYS EXCEPT WED,departing,1,
BGM,ORIGINATING TRAINS,17302,17302 Bgm Mys Exp,BGM,MYS,,19:40,21,DAILY,departing,3,
BGM,TERMINATING TRAINS,17301,17301 Mys Bgm Exp,MYS,BGM,09:55,,21,DAILY,arriving,1,
BGM,TERMINATING TRAINS,26752,26752 Bgm Vande Bharat,SBC,BGM,22:30,,8,6 DAYS EXCEPT WED,arriving,1,
BGM,TERMINATING TRAINS,07336,07336 Mugr Bgm Spl,MUGR,BGM,16:00,,18,"MON, TUE,5, FRI",arriving,,CANCELLED 18-12-24
BGM,PLATFORM TURNAROUND,20653/20654,20653 Sbc Bgm Exp,SBC,SBC,06:40,21:15,21,DAILY,both,1,
BGM,PLATFORM TURNAROUND,20676/20675,20676 Vishwamanav Exp,MYS,MYS,20:35,07:00,21,DAILY,both,1,
BGM,PLATFORM TURNAROUND,51464/56940/51461/56937,51464 Miraj - Belagavi Passenger,MRJ,MRJ,22:25,05:45,11,DAILY,both,UBL,
BGM,PLATFORM TURNAROUND,51462/56938/51463/56939,51462 Miraj - Belagavi Passenger,MRJ,MRJ,13:00,13:30,11,DAILY,both,UBL,
